### DATA:
#
# 2293
#      Q             I(Q)           Error     
1.03517591E-02  1.77100879E+09  1.77961968E+07
1.06702748E-02  1.78965374E+09  1.62798373E+07
1.09887905E-02  1.95146746E+09  1.63302250E+07
1.13073061E-02  1.87017995E+09  1.65201845E+07
1.16258218E-02  1.94950143E+09  1.59425948E+07
1.19443375E-02  1.94467290E+09  1.52263560E+07
1.22628531E-02  1.90993325E+09  1.50906965E+07
1.25813688E-02  2.06175614E+09  1.48385709E+07
1.28998845E-02  1.96285353E+09  1.44612050E+07
1.32184001E-02  2.05915739E+09  1.39103359E+07
1.35369158E-02  1.94531444E+09  1.32680500E+07
1.38554315E-02  1.98037964E+09  1.35591761E+07
1.41739471E-02  2.06202438E+09  1.31203984E+07
1.44924628E-02  1.95908557E+09  1.30971666E+07
1.48109785E-02  1.99215880E+09  1.19613493E+07
1.51294941E-02  1.94620907E+09  1.23232647E+07
1.54480098E-02  1.95609543E+09  1.18752800E+07
1.57665255E-02  1.98893874E+09  1.16718085E+07
1.60850411E-02  1.90508045E+09  1.15280323E+07
1.64035568E-02  1.93656127E+09  1.10072152E+07
1.67220725E-02  1.89585107E+09  1.07130252E+07
1.70405881E-02  1.86375421E+09  1.03871998E+07
1.73591038E-02  1.86294379E+09  1.05449477E+07
1.76776195E-02  1.86278310E+09  1.02752825E+07
1.79961351E-02  1.90679617E+09  1.02495482E+07
1.83146508E-02  1.93425578E+09  1.07875384E+07
1.86331665E-02  1.98137594E+09  1.06059179E+07
1.89516821E-02  1.95910396E+09  1.04376393E+07
1.92701978E-02  1.92648330E+09  1.04754959E+07
1.95887135E-02  1.91194856E+09  1.00012582E+07
1.99072291E-02  1.86736225E+09  1.03877542E+07
2.02257448E-02  1.88178342E+09  9.74158617E+06
2.05442604E-02  1.82059267E+09  9.91905622E+06
2.08627761E-02  1.78880407E+09  9.87104114E+06
2.11812918E-02  1.77721837E+09  9.37579231E+06
2.14998074E-02  1.66320312E+09  9.21056985E+06
2.18183231E-02  1.76726772E+09  8.83809223E+06
2.21368388E-02  1.82311619E+09  9.39538283E+06
2.24553544E-02  1.88322844E+09  8.97245498E+06
2.27738701E-02  1.91601210E+09  9.14475243E+06
2.30923858E-02  1.92091836E+09  9.20621322E+06
2.34109014E-02  1.91763866E+09  8.67090450E+06
2.37294171E-02  1.93539331E+09  8.83401712E+06
2.40479328E-02  1.90835705E+09  8.65336398E+06
2.43664484E-02  1.88218160E+09  8.61418332E+06
2.46849641E-02  1.88030148E+09  8.28973324E+06
2.50034798E-02  1.85857030E+09  8.16461232E+06
2.53219954E-02  1.82891939E+09  8.17554238E+06
2.56405111E-02  1.81180242E+09  8.02603845E+06
2.59590268E-02  1.79594459E+09  7.76752700E+06
2.62775424E-02  1.76594925E+09  7.80037574E+06
2.65960581E-02  1.75831400E+09  7.63147796E+06
2.69145738E-02  1.70531831E+09  7.62098534E+06
2.72330894E-02  1.70121089E+09  7.45072934E+06
2.75516051E-02  1.67112640E+09  7.29303503E+06
2.78701208E-02  1.65773213E+09  7.13765937E+06
2.81886364E-02  1.61319248E+09  7.15512625E+06
2.85071521E-02  1.59762064E+09  6.99087453E+06
2.88256678E-02  1.58111509E+09  6.71822055E+06
2.91441834E-02  1.53225742E+09  6.82680286E+06
2.94626991E-02  1.52907692E+09  6.75712128E+06
2.97812148E-02  1.47333863E+09  6.53329791E+06
3.00997304E-02  1.47440090E+09  6.38036060E+06
3.04182461E-02  1.43543532E+09  6.26816893E+06
3.07367618E-02  1.42205278E+09  6.39866401E+06
3.10552774E-02  1.39018337E+09  6.18454861E+06
3.13737931E-02  1.35943402E+09  6.14007925E+06
3.16923088E-02  1.33937852E+09  6.02070885E+06
3.20108244E-02  1.31019270E+09  5.80205714E+06
3.23293401E-02  1.27586374E+09  5.81422398E+06
3.26478558E-02  1.25161036E+09  5.73524507E+06
3.29663714E-02  1.21940719E+09  5.57403186E+06
3.32848871E-02  1.20420480E+09  5.57684070E+06
3.36034028E-02  1.18215493E+09  5.45977255E+06
3.39219184E-02  1.19214482E+09  5.54613168E+06
3.42404341E-02  1.21757490E+09  5.33928123E+06
3.45589497E-02  1.20506667E+09  5.46049871E+06
3.48774654E-02  1.19877946E+09  5.40900070E+06
3.51959811E-02  1.20840408E+09  5.37156585E+06
3.55144967E-02  1.15816313E+09  5.40862054E+06
3.58330124E-02  1.14410105E+09  5.13256578E+06
3.61515281E-02  1.12802627E+09  5.17359990E+06
3.64700437E-02  1.10453016E+09  5.07361242E+06
3.67885594E-02  1.09117736E+09  5.00641835E+06
3.71070751E-02  1.06211854E+09  4.95992137E+06
3.74255907E-02  1.04365616E+09  4.72142374E+06
3.77441064E-02  1.06000604E+09  5.15118940E+06
3.80626221E-02  1.05200095E+09  5.10011652E+06
3.83811377E-02  1.05429500E+09  5.01539756E+06
3.86996534E-02  1.04230362E+09  4.97892363E+06
3.90181691E-02  1.02726988E+09  5.02642262E+06
3.93366847E-02  1.00749452E+09  4.98536673E+06
3.96552004E-02  9.90865200E+08  5.07173178E+06
3.99737161E-02  9.75384993E+08  4.84946078E+06
4.02922317E-02  9.64941604E+08  4.87557141E+06
